symbol,timestamp,raw_pred_num,raw_pred,confidence,prob_sell,prob_hold,prob_buy,open,high,low,close,volume,news_count,sentiment_score,fused_signal,was_overridden,override_reason,model
NVDA,2025-09-05 14:00:00+00:00,0,SELL,0.5020594,0.5020594,0.11251687,0.38542378,167.65,167.66,164.2248,164.575,57060208.0,0,0.0,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 15:00:00+00:00,0,SELL,0.42542174,0.42542174,0.18374556,0.39083275,164.56,166.925,164.07,166.4001,30329117.0,3,0.2995289862155914,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 16:00:00+00:00,0,SELL,0.45989504,0.45989504,0.22547908,0.3146259,166.4,167.14,166.01,166.88,17522931.0,4,-0.8475368618965149,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 17:00:00+00:00,0,SELL,0.42679322,0.42679322,0.27311504,0.3000917,166.88,166.96,165.87,166.1228,14654945.0,1,-0.0039226934313774,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 18:00:00+00:00,0,SELL,0.39277464,0.39277464,0.2978065,0.3094189,166.12,166.91,165.94,166.34,13416656.0,0,0.0,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 19:00:00+00:00,0,SELL,0.3936235,0.3936235,0.31234944,0.29402712,166.335,167.195,166.12,167.04,25445726.0,1,0.4913350939750671,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 20:00:00+00:00,0,SELL,0.36763567,0.36763567,0.35772422,0.27464008,167.03,167.05,166.6,166.8006,15888607.0,2,0.2663918435573578,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 21:00:00+00:00,1,HOLD,0.36999092,0.35604706,0.36999092,0.27396205,166.8018,167.0,166.6,166.6001,860054.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 22:00:00+00:00,0,SELL,0.3658328,0.3658328,0.33777112,0.29639605,166.6,166.64,166.5,166.54,234106.0,0,0.0,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-05 23:00:00+00:00,0,SELL,0.36584175,0.36584175,0.30567756,0.32848066,166.54,166.55,166.05,166.09,297667.0,0,0.0,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 08:00:00+00:00,0,SELL,0.3690809,0.3690809,0.2684585,0.36246064,167.25,167.6,166.89,167.42,407187.0,1,0.5335619449615479,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 09:00:00+00:00,2,BUY,0.391668,0.37071764,0.23761435,0.391668,167.41,167.89,167.3,167.83,353658.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 10:00:00+00:00,2,BUY,0.4331091,0.3494377,0.21745315,0.4331091,167.8,168.25,167.7,167.77,416123.0,1,0.7995046973228455,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 11:00:00+00:00,2,BUY,0.47006086,0.3501608,0.17977835,0.47006086,167.77,168.02,167.6,167.62,428290.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 12:00:00+00:00,2,BUY,0.49246728,0.3467473,0.16078539,0.49246728,167.63,168.21,166.2,167.62,1727128.0,1,0.0312671884894371,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 13:00:00+00:00,2,BUY,0.53707653,0.3463166,0.11660688,0.53707653,167.64,170.96,167.01,170.2557,32519867.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 14:00:00+00:00,2,BUY,0.60828435,0.32730243,0.06441321,0.60828435,170.29,170.53,169.2,169.8851,27999661.0,4,0.926049530506134,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 15:00:00+00:00,2,BUY,0.5849093,0.2731195,0.1419712,0.5849093,169.88,170.23,169.25,169.95,16210971.0,1,-0.0076542980968952,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 16:00:00+00:00,2,BUY,0.5044868,0.29868987,0.19682334,0.5044868,169.965,170.25,169.5,169.965,13290459.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 17:00:00+00:00,2,BUY,0.44659433,0.30008933,0.2533164,0.44659433,169.9698,170.16,169.53,169.8,10165039.0,2,0.6526275873184204,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 18:00:00+00:00,2,BUY,0.4126343,0.29589444,0.29147118,0.4126343,169.8,170.04,169.22,169.265,12922105.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 19:00:00+00:00,2,BUY,0.38291937,0.27320522,0.34387538,0.38291937,169.265,169.86,168.0,168.37,28518543.0,1,0.926455020904541,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 20:00:00+00:00,1,HOLD,0.39431983,0.24979354,0.39431983,0.35588658,168.38,169.5242,167.86,168.1001,16317644.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 21:00:00+00:00,1,HOLD,0.38068426,0.26946792,0.38068426,0.34984782,168.1,168.35,168.1,168.28,311592.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 22:00:00+00:00,1,HOLD,0.35847795,0.28596276,0.35847795,0.35555926,168.28,168.43,168.18,168.35,1919844.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-08 23:00:00+00:00,2,BUY,0.4201577,0.31745297,0.2623893,0.4201577,168.36,168.42,168.11,168.2,256916.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 08:00:00+00:00,2,BUY,0.42202458,0.33559975,0.24237567,0.42202458,169.2,169.98,168.79,169.85,496398.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 09:00:00+00:00,2,BUY,0.4689557,0.32774684,0.20329745,0.4689557,169.85,169.97,169.51,169.51,214287.0,1,0.790763258934021,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 10:00:00+00:00,2,BUY,0.47001222,0.33801472,0.19197306,0.47001222,169.54,169.81,169.42,169.52,199507.0,1,-0.9642789363861084,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 11:00:00+00:00,2,BUY,0.46249053,0.3603427,0.17716675,0.46249053,169.54,169.55,168.49,169.03,446247.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 12:00:00+00:00,2,BUY,0.46402532,0.38944268,0.14653198,0.46402532,168.8,169.97,168.23,169.0501,1429775.0,1,-0.6249533295631409,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 13:00:00+00:00,2,BUY,0.5199809,0.37842005,0.101599,0.5199809,169.0597,169.64,167.94,168.38,20497888.0,1,0.3869454860687256,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 14:00:00+00:00,2,BUY,0.5542004,0.3860493,0.059750244,0.5542004,168.38,168.74,166.7401,167.405,27624694.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 15:00:00+00:00,0,SELL,0.45863777,0.45863777,0.13510649,0.40625575,167.405,168.36,167.2226,168.09,15815984.0,2,0.2347135096788406,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 16:00:00+00:00,0,SELL,0.41264337,0.41264337,0.2212611,0.36609557,168.09,168.93,168.0401,168.25,12114431.0,1,0.7594278454780579,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 17:00:00+00:00,0,SELL,0.4082429,0.4082429,0.25093058,0.34082654,168.26,168.46,167.845,168.085,12260484.0,1,0.052553866058588,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 18:00:00+00:00,0,SELL,0.38896495,0.38896495,0.27634028,0.33469477,168.085,169.05,167.96,169.035,15630896.0,1,0.4562346041202545,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 19:00:00+00:00,1,HOLD,0.36196268,0.3372375,0.36196268,0.3007998,169.04,170.98,169.0101,170.7585,29297349.0,1,0.0203339364379644,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 20:00:00+00:00,1,HOLD,0.488765,0.2811592,0.488765,0.23007579,170.76,174.77,170.62,173.45,17692604.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 21:00:00+00:00,2,BUY,0.35680065,0.34471083,0.29848856,0.35680065,173.42,174.49,173.24,174.0,2441678.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 22:00:00+00:00,2,BUY,0.35845694,0.31464574,0.32689735,0.35845694,173.98,174.0299,173.5,173.7,681684.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-09 23:00:00+00:00,2,BUY,0.37406704,0.31168935,0.3142436,0.37406704,173.74,174.22,173.2401,174.22,703285.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 08:00:00+00:00,2,BUY,0.38847563,0.3368825,0.27464187,0.38847563,173.22,174.2,173.15,174.05,666309.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 09:00:00+00:00,2,BUY,0.4196253,0.3286757,0.251699,0.4196253,174.06,174.4,173.9,173.92,375535.0,1,0.9048773050308228,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 10:00:00+00:00,2,BUY,0.44001362,0.32020673,0.23977962,0.44001362,173.93,174.81,173.82,174.61,519910.0,1,0.1986164003610611,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 11:00:00+00:00,2,BUY,0.45574003,0.33223,0.21202992,0.45574003,174.6,175.65,174.35,175.51,1349255.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 12:00:00+00:00,2,BUY,0.456325,0.35138887,0.1922861,0.456325,174.58,176.62,172.5,176.56,4690582.0,4,-0.8720036745071411,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 13:00:00+00:00,2,BUY,0.4454055,0.37048134,0.18411313,0.4454055,176.57,178.95,175.47,177.1801,53370301.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 14:00:00+00:00,0,SELL,0.42288882,0.42288882,0.17056893,0.40654227,177.18,179.19,176.8126,178.885,43566541.0,2,0.8904499411582947,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 15:00:00+00:00,2,BUY,0.397474,0.35782734,0.24469873,0.397474,178.89,179.29,177.7,177.8502,24263826.0,2,0.0139180868864059,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 16:00:00+00:00,2,BUY,0.3892462,0.312655,0.2980988,0.3892462,177.8525,178.0758,177.37,177.675,18042175.0,1,0.2822883725166321,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 17:00:00+00:00,2,BUY,0.37709323,0.29548517,0.32742158,0.37709323,177.67,178.32,177.41,177.68,14138076.0,1,0.052553866058588,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 18:00:00+00:00,2,BUY,0.37756336,0.289102,0.33333465,0.37756336,177.68,177.7,176.15,176.635,20090935.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 19:00:00+00:00,2,BUY,0.38035765,0.28269657,0.33694577,0.38035765,176.635,177.98,175.96,177.3,28709225.0,2,0.8966727256774902,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 20:00:00+00:00,2,BUY,0.36113155,0.29623652,0.34263185,0.36113155,177.28,177.4618,176.84,176.87,15685671.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 21:00:00+00:00,2,BUY,0.36622882,0.2717976,0.36197358,0.36622882,176.87,177.06,176.5401,176.79,935514.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 22:00:00+00:00,2,BUY,0.38714913,0.28558826,0.32726255,0.38714913,176.82,177.2735,176.79,177.1999,208531.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-10 23:00:00+00:00,2,BUY,0.40504068,0.31141406,0.2835453,0.40504068,177.15,177.28,177.0,177.17,237499.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 08:00:00+00:00,2,BUY,0.4161533,0.32397214,0.25987452,0.4161533,177.8,178.2,177.65,177.75,312736.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 09:00:00+00:00,2,BUY,0.43641362,0.32838136,0.2352051,0.43641362,177.77,178.0,177.32,177.6,188838.0,1,0.042341761291027,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 10:00:00+00:00,2,BUY,0.4556428,0.33046407,0.21389318,0.4556428,177.64,178.68,177.63,178.39,513979.0,1,0.2110114097595214,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 11:00:00+00:00,2,BUY,0.47878838,0.33538416,0.1858275,0.47878838,178.38,178.52,178.12,178.31,298935.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 12:00:00+00:00,2,BUY,0.4856928,0.3328245,0.1814827,0.4856928,178.39,178.95,177.35,178.95,2285765.0,1,0.0319568552076816,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 13:00:00+00:00,2,BUY,0.49798766,0.35241184,0.14960054,0.49798766,178.94,180.28,177.61,177.845,29252367.0,1,0.8578090071678162,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 14:00:00+00:00,2,BUY,0.53134674,0.36195356,0.10669967,0.53134674,177.84,178.2799,176.925,177.84,24755607.0,3,-0.0202538520097732,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 15:00:00+00:00,2,BUY,0.49186397,0.3760712,0.13206488,0.49186397,177.835,178.53,177.15,177.975,20694357.0,2,0.5651219487190247,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 16:00:00+00:00,2,BUY,0.44568858,0.378033,0.17627832,0.44568858,177.98,178.1,177.02,177.305,12156567.0,1,-0.8730193376541138,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 17:00:00+00:00,2,BUY,0.39323413,0.35658062,0.25018525,0.39323413,177.31,177.52,176.48,177.1218,13245858.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 18:00:00+00:00,0,SELL,0.36193645,0.36193645,0.27821922,0.35984433,177.13,177.74,176.91,177.505,13591689.0,1,0.1041006445884704,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 19:00:00+00:00,2,BUY,0.34496439,0.32136288,0.33367267,0.34496439,177.5,177.95,176.9,177.09,16882995.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 20:00:00+00:00,2,BUY,0.35557282,0.31387877,0.33054835,0.35557282,177.06,177.7234,176.95,177.1,15573034.0,1,0.8022615909576416,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 21:00:00+00:00,2,BUY,0.3555968,0.33478013,0.30962303,0.3555968,177.1,177.3,177.02,177.15,975267.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 22:00:00+00:00,2,BUY,0.38256603,0.34025863,0.27717534,0.38256603,177.16,177.3,177.02,177.1991,215597.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-11 23:00:00+00:00,2,BUY,0.4122735,0.34549043,0.24223611,0.4122735,177.18,177.29,177.1111,177.22,174347.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 08:00:00+00:00,2,BUY,0.42975527,0.34890708,0.22133769,0.42975527,177.2,177.75,177.0,177.73,280762.0,1,0.8132237792015076,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 09:00:00+00:00,2,BUY,0.44659823,0.36252552,0.1908762,0.44659823,177.74,177.93,177.53,177.57,267111.0,1,-0.8954457640647888,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 10:00:00+00:00,2,BUY,0.44351748,0.3813799,0.17510255,0.44351748,177.53,177.65,177.13,177.24,241517.0,0,0.0,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 11:00:00+00:00,2,BUY,0.4666809,0.37135574,0.16196342,0.4666809,177.28,177.81,177.25,177.81,305551.0,1,0.9311942458152772,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 12:00:00+00:00,2,BUY,0.46724904,0.3752173,0.15753363,0.46724904,177.81,177.92,177.0,177.6,912795.0,2,-0.8903703689575195,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 13:00:00+00:00,2,BUY,0.49096808,0.3628103,0.14622161,0.49096808,177.61,178.44,176.45,177.53,18929942.0,1,0.9095250964164734,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 14:00:00+00:00,2,BUY,0.52636,0.40686575,0.06677426,0.52636,177.49,178.595,177.055,178.295,21069530.0,2,-0.6663420796394348,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 15:00:00+00:00,2,BUY,0.48927703,0.3597944,0.1509285,0.48927703,178.3,178.55,177.325,177.63,17985879.0,1,0.2017807513475418,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 16:00:00+00:00,2,BUY,0.35773933,0.33301774,0.30924293,0.35773933,177.63,178.2184,177.46,177.91,12067867.0,2,0.9152143001556396,BUY,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 17:00:00+00:00,1,HOLD,0.47775775,0.25977293,0.47775775,0.26246938,177.91,178.015,177.5,177.82,8207617.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 18:00:00+00:00,1,HOLD,0.55520666,0.22620463,0.55520666,0.21858868,177.815,177.94,177.4,177.81,9783990.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 19:00:00+00:00,1,HOLD,0.5769777,0.21677099,0.5769777,0.20625119,177.8,178.0,177.4,177.79,16805893.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 20:00:00+00:00,1,HOLD,0.61220884,0.20485939,0.61220884,0.18293183,177.8,177.99,177.6213,177.77,17589964.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 21:00:00+00:00,1,HOLD,0.63369864,0.20001183,0.63369864,0.16628948,177.77,177.79,177.75,177.75,145867.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 22:00:00+00:00,1,HOLD,0.56441206,0.22848761,0.56441206,0.2071003,177.75,177.8,177.63,177.68,113049.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-12 23:00:00+00:00,1,HOLD,0.48706514,0.2628927,0.48706514,0.2500422,177.68,177.69,177.501,177.53,196537.0,0,0.0,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-15 08:00:00+00:00,1,HOLD,0.3727356,0.34097877,0.3727356,0.28628573,177.48,178.0,173.0,173.6,1935467.0,1,-0.8454384803771973,HOLD,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-15 09:00:00+00:00,0,SELL,0.43432048,0.43432048,0.17926028,0.3864193,173.61,173.69,172.47,173.37,1120507.0,1,-0.9657729268074036,SELL,False,deep_fusion,SENTIMENTLSTM
NVDA,2025-09-15 10:00:00+00:00,2,BUY,0.40948588,0.40084562,0.1896685,0.40948588,173.41,174.38,172.94,174.11,1013567.0,1,0.6746407747268677,BUY,False,deep_fusion,SENTIMENTLSTM
