symbol,timestamp,close,open,high,low,volume,raw_pred,confidence,sentiment_score,fused_signal,was_overridden,override_reason,model
JPM,2025-06-06 21:00:00+00:00,265.55,265.55,265.55,265.55,947.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-06 22:00:00+00:00,265.33,265.33,265.33,265.33,102.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 09:00:00+00:00,266.41,266.41,266.41,266.41,780.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 11:00:00+00:00,266.37,266.33,266.37,266.29,2498.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 12:00:00+00:00,266.49,266.33,266.49,266.29,3134.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 13:00:00+00:00,265.1,266.48,266.9,263.35,1051269.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 14:00:00+00:00,265.536,265.07,265.57,264.1,1362883.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 15:00:00+00:00,265.915,265.57,265.95,264.93,823341.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 16:00:00+00:00,266.5724,265.915,266.65,265.68,665077.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 17:00:00+00:00,267.6,266.635,267.78,266.555,687948.0,BUY,1.0,0.0089880265295505,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 18:00:00+00:00,267.19,267.61,267.9,267.18,675240.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 19:00:00+00:00,266.72,267.19,267.42,266.56,1358370.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 20:00:00+00:00,266.85,266.74,266.9,266.74,1293043.0,BUY,1.0,-0.1957640498876571,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-09 21:00:00+00:00,266.74,266.8,266.8,266.74,221.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 09:00:00+00:00,266.37,266.37,266.37,266.37,163.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 11:00:00+00:00,266.55,266.23,266.68,266.23,3353.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 12:00:00+00:00,266.7001,266.8967,267.0,266.7001,4147.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 13:00:00+00:00,267.1165,266.7,267.56,265.59,644284.0,BUY,1.0,0.8815814256668091,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 14:00:00+00:00,266.46,267.12,267.65,266.43,705643.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 15:00:00+00:00,267.49,266.53,267.7799,266.38,703495.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 16:00:00+00:00,268.405,267.515,268.43,267.46,542456.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 17:00:00+00:00,268.13,268.405,268.72,268.06,572281.0,BUY,1.0,-0.8310173153877258,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 18:00:00+00:00,268.54,268.125,268.64,267.63,554698.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 19:00:00+00:00,268.68,268.55,268.9,268.3,1351088.0,BUY,1.0,0.9201293587684632,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 20:00:00+00:00,268.6,268.6,268.6,268.05,1263183.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 21:00:00+00:00,268.323,268.6,268.6,268.323,344.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-10 23:00:00+00:00,268.6,268.6,268.6,268.6,1016.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 11:00:00+00:00,268.02,268.0,268.02,268.0,514.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 12:00:00+00:00,269.29,268.02,270.0,268.0199,10485.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 13:00:00+00:00,268.85,269.12,269.59,265.7862,792516.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 14:00:00+00:00,268.2,268.8,269.07,268.0,743603.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 15:00:00+00:00,268.06,268.18,268.62,267.56,523577.0,BUY,1.0,-0.9417285919189452,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 16:00:00+00:00,268.475,268.025,268.58,267.5106,336274.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 17:00:00+00:00,269.055,268.47,269.6199,268.38,501769.0,BUY,1.0,0.0,BUY,False,none,BUY_AND_HOLD
JPM,2025-06-11 18:00:00+00:00,268.305,269.01,269.13,267.71,553458.0,BUY,1.0,0.9122090935707092,BUY,False,none,BUY_AND_HOLD
