symbol,timestamp,raw_pred_num,raw_pred,confidence,prob_sell,prob_hold,prob_buy,close,open,high,low,volume,news_count,sentiment_score,sentiment_positive,sentiment_negative,fused_signal,override_reason,was_overridden,model
SPY,2025-04-02 10:00:00+00:00,0,SELL,0.52002484,0.52002484,0.049029045,0.43094614,557.95,559.1,559.19,557.6,358366.0,3,-0.9647738933563232,0.0083748120814561,0.9731487035751344,SELL,none,False,LSTM
SPY,2025-04-02 11:00:00+00:00,0,SELL,0.5059317,0.5059317,0.05096515,0.44310322,557.16,557.99,558.25,557.11,203975.0,0,0.0,0.0,0.0,SELL,none,False,LSTM
SPY,2025-04-02 12:00:00+00:00,0,SELL,0.48827633,0.48827633,0.061958715,0.44976488,556.16,557.53,560.83,555.0,717105.0,2,0.7648041248321533,0.8712307810783386,0.1064266264438629,SELL,none,False,LSTM
SPY,2025-04-02 13:00:00+00:00,0,SELL,0.47631422,0.47631422,0.057258043,0.4664277,558.73,556.18,559.78,554.81,7007024.0,1,-0.9625601172447203,0.0085014346987009,0.9710615277290344,SELL,none,False,LSTM
SPY,2025-04-02 14:00:00+00:00,2,BUY,0.4721675,0.44513452,0.082698,0.4721675,562.09,558.71,562.2696,558.29,5112417.0,1,-0.8287431001663208,0.060646504163742,0.8893895745277405,HOLD,none,True,LSTM
SPY,2025-04-02 15:00:00+00:00,2,BUY,0.4648449,0.41521263,0.119942434,0.4648449,562.2836,562.07,563.75,560.86,5473266.0,4,-0.1454381048679351,0.3164523243904114,0.4618904292583465,BUY,none,False,LSTM
SPY,2025-04-02 16:00:00+00:00,2,BUY,0.45910653,0.4031331,0.13776042,0.45910653,565.68,562.31,566.06,562.08,5540410.0,3,-0.9024445414543152,0.0150415021926164,0.9174860715866088,HOLD,none,True,LSTM
SPY,2025-04-02 17:00:00+00:00,2,BUY,0.45082277,0.39312696,0.15605024,0.45082277,564.1,565.69,567.42,563.21,6857177.0,1,-0.45008385181427,0.0298118256032466,0.479895681142807,HOLD,none,True,LSTM
SPY,2025-04-02 18:00:00+00:00,2,BUY,0.4807932,0.3834283,0.13577852,0.4807932,561.11,564.08,564.45,560.96,5724448.0,2,0.7731472253799438,0.8669551014900208,0.0938078910112381,BUY,none,False,LSTM
SPY,2025-04-02 19:00:00+00:00,2,BUY,0.5088126,0.26409483,0.22709253,0.5088126,564.65,561.15,565.655,561.135,12283512.0,4,0.8242284655570984,0.8459988236427307,0.0217703431844711,BUY,none,False,LSTM
SPY,2025-04-02 20:00:00+00:00,1,HOLD,0.537211,0.16962044,0.537211,0.29316857,552.29,564.64,570.74,550.5,20261691.0,19,-0.6989680528640747,0.126357764005661,0.8253258466720581,HOLD,none,False,LSTM
SPY,2025-04-02 21:00:00+00:00,2,BUY,0.57718784,0.34576207,0.07705008,0.57718784,547.3,552.3,552.42,546.36,3923958.0,1,-0.9631898403167723,0.0103862164542078,0.9735760688781738,HOLD,none,True,LSTM
SPY,2025-04-02 22:00:00+00:00,2,BUY,0.52117115,0.4457991,0.03302979,0.52117115,546.58,547.25,548.77,542.2,1847716.0,1,-0.9252011179924012,0.0199910160154104,0.9451921582221984,HOLD,none,True,LSTM
SPY,2025-04-02 23:00:00+00:00,0,SELL,0.5180034,0.5180034,0.028244315,0.45375234,544.83,546.48,546.48,544.0,652620.0,0,0.0,0.0,0.0,SELL,none,False,LSTM
SPY,2025-04-03 08:00:00+00:00,0,SELL,0.58225507,0.58225507,0.031528793,0.38621613,548.88,548.0,549.38,547.46,173846.0,2,-0.6626216769218445,0.0336051099002361,0.6962267756462097,SELL,none,False,LSTM
SPY,2025-04-03 09:00:00+00:00,0,SELL,0.63382983,0.63382983,0.0483989,0.31777123,546.54,548.92,549.33,546.27,136382.0,0,0.0,0.0,0.0,SELL,none,False,LSTM
SPY,2025-04-03 10:00:00+00:00,0,SELL,0.63897264,0.63897264,0.049418606,0.31160873,545.44,546.6,547.0,544.36,395558.0,4,-0.8619964718818665,0.0250281505286693,0.8870246410369873,SELL,none,False,LSTM
SPY,2025-04-03 11:00:00+00:00,0,SELL,0.614789,0.614789,0.048425745,0.3367852,546.0,545.53,546.75,544.78,727044.0,1,0.8969829678535461,0.9111661911010742,0.0141831990331411,SELL,none,False,LSTM
SPY,2025-04-03 12:00:00+00:00,0,SELL,0.59167725,0.59167725,0.054570716,0.35375205,543.68,545.35,550.09,543.55,1579299.0,8,0.6155301928520203,0.7867074012756348,0.1711772233247757,SELL,none,False,LSTM
SPY,2025-04-03 13:00:00+00:00,0,SELL,0.567842,0.567842,0.041952334,0.39020568,544.92,543.51,547.97,543.188,15518180.0,2,-0.2371916770935058,0.0512281619012355,0.2884198427200317,SELL,none,False,LSTM
SPY,2025-04-03 14:00:00+00:00,0,SELL,0.53666973,0.53666973,0.06131427,0.40201592,540.19,544.86,545.22,540.1,18953251.0,5,-0.9212471842765808,0.0328494682908058,0.9540966749191284,SELL,none,False,LSTM
SPY,2025-04-03 15:00:00+00:00,0,SELL,0.51793164,0.51793164,0.053504754,0.42856365,543.51,540.2,544.4199,539.58,14405729.0,12,0.9174475073814392,0.9446200728416444,0.027172552421689,SELL,none,False,LSTM
SPY,2025-04-03 16:00:00+00:00,0,SELL,0.47528186,0.47528186,0.06284145,0.46187672,543.44,543.51,546.36,542.985,9685758.0,7,-0.7367135882377625,0.1004556268453598,0.8371692299842834,SELL,none,False,LSTM
SPY,2025-04-03 17:00:00+00:00,2,BUY,0.48200724,0.45141873,0.06657406,0.48200724,541.85,543.46,544.37,541.77,7111829.0,2,0.3525565266609192,0.4316883385181427,0.0791318267583847,BUY,none,False,LSTM
SPY,2025-04-03 18:00:00+00:00,2,BUY,0.49269694,0.42008692,0.08721611,0.49269694,541.79,541.84,542.53,539.9402,9372505.0,5,-0.6753620505332947,0.1499666422605514,0.8253287076950073,HOLD,none,True,LSTM
SPY,2025-04-03 19:00:00+00:00,2,BUY,0.4830737,0.3624677,0.15445861,0.4830737,537.64,541.77,542.0,536.9,28296214.0,4,-0.919462502002716,0.0324536338448524,0.9519161581993104,HOLD,none,True,LSTM
SPY,2025-04-03 20:00:00+00:00,2,BUY,0.4933333,0.34717962,0.1594871,0.4933333,536.21,537.67,538.76,535.65,18475868.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-03 21:00:00+00:00,2,BUY,0.5043792,0.33966523,0.15595548,0.5043792,536.59,536.25,536.73,536.16,544857.0,1,0.768405020236969,0.8545811772346497,0.0861761793494224,BUY,none,False,LSTM
SPY,2025-04-03 22:00:00+00:00,2,BUY,0.50407505,0.35032928,0.14559567,0.50407505,536.21,536.45,537.19,534.91,337300.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-03 23:00:00+00:00,2,BUY,0.4880317,0.36355144,0.14841685,0.4880317,536.38,536.12,537.0,535.4,268944.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-04 08:00:00+00:00,2,BUY,0.4644175,0.36657652,0.1690059,0.4644175,533.44,535.28,535.28,533.14,95252.0,2,-0.915145218372345,0.0352844223380088,0.950429618358612,HOLD,none,True,LSTM
SPY,2025-04-04 09:00:00+00:00,2,BUY,0.4458139,0.3768654,0.17732072,0.4458139,532.88,533.53,533.85,532.07,105577.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-04 10:00:00+00:00,2,BUY,0.4230692,0.38572195,0.19120878,0.4230692,521.8,533.24,533.88,520.75,2151886.0,3,-0.8310828804969788,0.0522922165691852,0.8833751082420349,HOLD,none,True,LSTM
SPY,2025-04-04 11:00:00+00:00,2,BUY,0.4676304,0.45723417,0.075135455,0.4676304,523.01,521.97,523.69,515.95,2922928.0,2,-0.8716786503791809,0.0350992791354656,0.9067779183387756,HOLD,none,True,LSTM
SPY,2025-04-04 12:00:00+00:00,0,SELL,0.4910169,0.4910169,0.06011642,0.44886672,524.82,523.01,537.0,516.0,4361080.0,7,-0.6897472739219666,0.1451181322336197,0.834865391254425,SELL,none,False,LSTM
SPY,2025-04-04 13:00:00+00:00,0,SELL,0.49361756,0.49361756,0.035507612,0.47087482,523.18,524.93,526.56,519.15,21910909.0,4,-0.3180900812149048,0.3006811141967773,0.6187711954116821,SELL,none,False,LSTM
SPY,2025-04-04 14:00:00+00:00,0,SELL,0.4882735,0.4882735,0.042798974,0.4689276,515.525,523.18,523.26,510.05,27572366.0,2,-0.5890653133392334,0.1483206152915954,0.7373859286308289,SELL,none,False,LSTM
SPY,2025-04-04 15:00:00+00:00,0,SELL,0.5012629,0.5012629,0.035455488,0.4632815,514.96,515.47,522.59,514.0,28456671.0,16,-0.5671462416648865,0.0954428240656852,0.6625890731811523,SELL,none,False,LSTM
SPY,2025-04-04 16:00:00+00:00,0,SELL,0.48323652,0.48323652,0.03747097,0.4792926,512.075,514.98,517.4585,510.91,13842951.0,3,0.8373590111732483,0.8534971475601196,0.0161381196230649,SELL,none,False,LSTM
SPY,2025-04-04 17:00:00+00:00,2,BUY,0.49935704,0.45812204,0.042520884,0.49935704,514.57,512.08,514.64,508.325,18223244.0,7,-0.1016960442066192,0.4168493449687958,0.518545389175415,BUY,none,False,LSTM
SPY,2025-04-04 18:00:00+00:00,2,BUY,0.51596785,0.41262397,0.07140824,0.51596785,507.78,514.59,515.82,505.52,21218538.0,3,0.2175880372524261,0.5005871057510376,0.2829990684986114,BUY,none,False,LSTM
SPY,2025-04-04 19:00:00+00:00,2,BUY,0.50597274,0.44825804,0.04576923,0.50597274,505.5,507.78,513.9197,505.06,43276596.0,3,-0.952610433101654,0.013564271852374,0.9661747217178344,HOLD,none,True,LSTM
SPY,2025-04-04 20:00:00+00:00,2,BUY,0.51264143,0.4345982,0.05276035,0.51264143,504.5,505.5,514.4197,502.19,29757714.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-04 21:00:00+00:00,2,BUY,0.53489095,0.40773702,0.057371955,0.53489095,505.0799,504.6725,506.26,504.56,2237766.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-04 22:00:00+00:00,2,BUY,0.5348986,0.3645182,0.10058325,0.5348986,505.2,504.94,505.59,504.6404,1607889.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-04 23:00:00+00:00,2,BUY,0.52860546,0.34432214,0.12707232,0.52860546,505.5,504.95,505.67,504.45,211924.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-07 08:00:00+00:00,2,BUY,0.49590513,0.3481835,0.15591142,0.49590513,487.87,486.9,491.09,482.96,989426.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-07 09:00:00+00:00,2,BUY,0.5110847,0.41315436,0.07576098,0.5110847,488.8,487.77,490.62,484.83,559007.0,2,-0.9639788269996644,0.0091229118406772,0.9731017351150512,HOLD,none,True,LSTM
SPY,2025-04-07 10:00:00+00:00,2,BUY,0.478065,0.46767032,0.054264605,0.478065,494.81,488.83,498.9,487.69,1562342.0,4,-0.8204591870307922,0.0812360420823097,0.9016952514648438,HOLD,none,True,LSTM
SPY,2025-04-07 11:00:00+00:00,2,BUY,0.48326486,0.47776693,0.038968198,0.48326486,493.47,494.66,498.58,492.09,1867124.0,1,-0.9670898914337158,0.0085166320204734,0.9756065011024476,HOLD,none,True,LSTM
SPY,2025-04-07 12:00:00+00:00,2,BUY,0.48434487,0.48304188,0.032613292,0.48434487,496.11,493.41,498.78,480.0,6651909.0,2,-0.8277225494384766,0.0792811140418052,0.90700364112854,HOLD,none,True,LSTM
SPY,2025-04-07 13:00:00+00:00,2,BUY,0.49744365,0.4679071,0.034649268,0.49744365,495.69,496.07,496.46,481.8,31361716.0,3,0.0379347503185272,0.0703864395618438,0.0324516892433166,BUY,none,False,LSTM
SPY,2025-04-07 14:00:00+00:00,2,BUY,0.509657,0.4231687,0.067174226,0.509657,505.91,495.67,523.17,493.37,73178757.0,10,0.3356139957904815,0.5846699476242065,0.2490559518337249,BUY,none,False,LSTM
SPY,2025-04-07 15:00:00+00:00,2,BUY,0.5459684,0.39819458,0.05583695,0.5459684,499.5,505.88,509.77,492.66,35792997.0,19,0.0005101263523101,0.0777417719364166,0.0772316455841064,BUY,none,False,LSTM
SPY,2025-04-07 16:00:00+00:00,2,BUY,0.54942995,0.4046232,0.04594686,0.54942995,495.68,499.5,501.77,494.7,14739517.0,8,-0.943074345588684,0.0148485312238335,0.9579228758811952,HOLD,none,True,LSTM
SPY,2025-04-07 17:00:00+00:00,2,BUY,0.55973953,0.39498702,0.045273397,0.55973953,509.09,495.63,509.36,495.59,21216717.0,7,-0.5738323926925659,0.1425221562385559,0.7163545489311218,HOLD,none,True,LSTM
SPY,2025-04-07 18:00:00+00:00,2,BUY,0.5660201,0.3858548,0.048125155,0.5660201,503.21,509.07,510.47,502.28,14852027.0,1,-0.9135118126869202,0.0353240929543972,0.9488359093666076,HOLD,none,True,LSTM
SPY,2025-04-07 19:00:00+00:00,2,BUY,0.55844545,0.39532652,0.046228033,0.55844545,504.55,503.25,506.64,500.14,31929966.0,5,0.2876039445400238,0.3169697225093841,0.0293657835572958,BUY,none,False,LSTM
SPY,2025-04-07 20:00:00+00:00,2,BUY,0.5837317,0.34802967,0.068238616,0.5837317,506.45,504.55,509.14,503.83,19994930.0,6,0.5995221734046936,0.7641301155090332,0.1646079570055008,BUY,none,False,LSTM
SPY,2025-04-07 21:00:00+00:00,2,BUY,0.59259534,0.30959538,0.0978093,0.59259534,507.1101,506.49,507.5,506.35,1174120.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-07 22:00:00+00:00,2,BUY,0.5811798,0.29824352,0.120576724,0.5811798,509.1,507.17,509.1,506.66,435658.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-07 23:00:00+00:00,2,BUY,0.5636039,0.28938976,0.14700633,0.5636039,509.53,509.1,510.24,508.95,304577.0,0,0.0,0.0,0.0,BUY,none,False,LSTM
SPY,2025-04-08 08:00:00+00:00,2,BUY,0.5430549,0.28378135,0.17316374,0.5430549,512.88,510.22,513.53,510.07,210982.0,3,-0.9354782700538636,0.0150789991021156,0.950557291507721,HOLD,none,True,LSTM
SPY,2025-04-08 09:00:00+00:00,2,BUY,0.5333078,0.28950417,0.17718811,0.5333078,510.67,512.5,512.98,510.61,162963.0,2,-0.5239388346672058,0.227656289935112,0.751595139503479,HOLD,none,True,LSTM
SPY,2025-04-08 10:00:00+00:00,2,BUY,0.53230757,0.30091432,0.16677804,0.53230757,511.74,510.59,512.76,510.0,351310.0,2,0.868608295917511,0.9160809516906738,0.0474726520478725,BUY,none,False,LSTM
SPY,2025-04-08 11:00:00+00:00,2,BUY,0.5290929,0.304178,0.16672906,0.5290929,518.22,511.94,518.3,511.19,1238666.0,6,0.2706655859947204,0.3021192550659179,0.0314536616206169,BUY,none,False,LSTM
SPY,2025-04-08 12:00:00+00:00,2,BUY,0.5315023,0.31795177,0.15054595,0.5315023,517.03,518.0,519.3,509.04,1805354.0,2,-0.2661894857883453,0.0345729328691959,0.300762414932251,BUY,none,False,LSTM
SPY,2025-04-08 13:00:00+00:00,2,BUY,0.5288712,0.3244439,0.1466849,0.5288712,522.5925,517.0,523.29,516.49,19413093.0,3,-0.0191242098808288,0.1632286459207534,0.1823528558015823,BUY,none,False,LSTM
SPY,2025-04-08 14:00:00+00:00,2,BUY,0.51921725,0.33082354,0.14995919,0.51921725,517.85,522.59,524.98,517.81,16580268.0,12,-0.7666743993759155,0.0957837477326393,0.8624581694602966,HOLD,none,True,LSTM
SPY,2025-04-08 15:00:00+00:00,2,BUY,0.53158045,0.33261174,0.1358078,0.53158045,516.77,517.86,519.27,514.0,14734384.0,12,0.3055075407028198,0.3320971727371216,0.0265896189957857,BUY,none,False,LSTM
SPY,2025-04-08 16:00:00+00:00,2,BUY,0.5372955,0.3310907,0.1316138,0.5372955,507.1442,516.74,517.29,507.02,19787504.0,14,-0.940583109855652,0.0125574441626667,0.9531405568122864,HOLD,none,True,LSTM
SPY,2025-04-08 17:00:00+00:00,2,BUY,0.5334339,0.3535828,0.11298327,0.5334339,506.72,507.08,509.11,502.03,21117575.0,10,0.867295503616333,0.8900638818740845,0.022768385708332,BUY,none,False,LSTM
SPY,2025-04-08 18:00:00+00:00,2,BUY,0.506593,0.38163754,0.11176947,0.506593,501.69,506.76,507.82,501.4,14482887.0,5,0.8037011623382568,0.8869524002075195,0.0832512155175209,BUY,none,False,LSTM
SPY,2025-04-08 19:00:00+00:00,2,BUY,0.4953928,0.41329277,0.09131444,0.4953928,496.74,501.71,502.12,489.16,40842815.0,1,-0.9270049333572388,0.0310541279613971,0.9580590724945068,HOLD,none,True,LSTM
SPY,2025-04-08 20:00:00+00:00,0,SELL,0.4638197,0.4638197,0.08021569,0.4559646,496.0,496.75,498.64,486.2007,11807048.0,5,0.7443588376045227,0.7764272689819336,0.0320684425532817,SELL,none,False,LSTM
